시군구,번지,단지명,전용면적,거래금액
서울특별시 노원구 공릉동,670-7,670-7,17.27,"        17,800"
서울특별시 노원구 공릉동,670-7,670-7,17.27,"        17,600"
서울특별시 노원구 공릉동,670-7,670-7,17.27,"        17,800"
서울특별시 노원구 공릉동,743,공릉동 한보에센시티아파트,59.4,"        37,300"
서울특별시 노원구 공릉동,743,공릉동 한보에센시티아파트,59.4,"        37,000"
서울특별시 노원구 공릉동,270-71,대명아파트,62.04,"        40,800"
서울특별시 노원구 공릉동,492-1,대아2차아파트,84.6,"        46,000"
서울특별시 노원구 공릉동,705,동부아파트,59.34,"        37,000"
서울특별시 노원구 공릉동,745,동신아파트,114.98,"        67,000"
서울특별시 노원구 공릉동,747,두산힐스빌아파트,84.9,"        52,000"
서울특별시 노원구 공릉동,109,비선아파트,48.6,"        32,000"
서울특별시 노원구 공릉동,714,삼익4단지아파트,39.6,"        29,400"
서울특별시 노원구 공릉동,714,삼익4단지아파트,39.6,"        23,300"
서울특별시 노원구 공릉동,737,삼익아파트,51.03,"        30,800"
서울특별시 노원구 공릉동,737,삼익아파트,51.03,"        28,900"
서울특별시 노원구 공릉동,737,삼익아파트,84.6,"        51,500"
서울특별시 노원구 공릉동,371-11,서일이츠뷰,84.983,"        53,000"
서울특별시 노원구 공릉동,707,시영2단지(라이프)아파트,39.6,"        26,800"
서울특별시 노원구 공릉동,715,시영3차(라이프)아파트,39.6,"        27,300"
서울특별시 노원구 공릉동,715,시영3차(라이프)아파트,34.44,"        22,100"
서울특별시 노원구 공릉동,715,시영3차(라이프)아파트,34.44,"        23,900"
서울특별시 노원구 공릉동,568-6,씨엠아파트,73.23,"        29,000"
서울특별시 노원구 공릉동,395-7,진명비베레,13.9092,"         8,900"
서울특별시 노원구 공릉동,395-7,진명비베레,13.9092,"         9,000"
서울특별시 노원구 공릉동,91,청솔아파트8,84.83,"        59,500"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        32,800"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        37,500"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        37,000"
서울특별시 노원구 공릉동,81,태강아파트,59.38,"        42,200"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        32,900"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        37,500"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        34,800"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        35,000"
서울특별시 노원구 공릉동,81,태강아파트,49.6,"        35,000"
서울특별시 노원구 공릉동,725,풍림아파트A,84.99,"        58,800"
서울특별시 노원구 공릉동,727,풍림아파트B,31.32,"        22,800"
서울특별시 노원구 공릉동,222,하늘공원,84.58,"        35,800"
서울특별시 노원구 공릉동,741,현대성우아파트,84.96,"        49,500"
서울특별시 노원구 공릉동,746,효성아파트,84.75,"        55,200"
서울특별시 노원구 상계동,1270,금호타운,84.54,"        40,800"
서울특별시 노원구 상계동,1318,노원IPARK,121.02,"        56,000"
서울특별시 노원구 상계동,1318,노원IPARK,139.28,"        65,800"
서울특별시 노원구 상계동,1318,노원IPARK,137.63,"        55,000"
서울특별시 노원구 상계동,1110,두산,84.09,"        48,000"
서울특별시 노원구 상계동,1110,두산,84.09,"        52,000"
서울특별시 노원구 상계동,1320,미라보(성림),60,"        30,000"
서울특별시 노원구 상계동,173-1,벽산,46.8,"        27,000"
서울특별시 노원구 상계동,173-1,벽산,59.9,"        36,000"
서울특별시 노원구 상계동,173-1,벽산,59.9,"        40,000"
서울특별시 노원구 상계동,173-1,벽산,43.35,"        24,000"
서울특별시 노원구 상계동,639,보람1단지,44.33,"        30,500"
서울특별시 노원구 상계동,639,보람1단지,44.33,"        30,000"
서울특별시 노원구 상계동,1282,상계2차중앙하이츠,84.6,"        59,750"
서울특별시 노원구 상계동,172,상계대림,84.91,"        50,200"
서울특별시 노원구 상계동,1289,상계불암대림,59.22,"        37,000"
서울특별시 노원구 상계동,1289,상계불암대림,59.22,"        42,000"
서울특별시 노원구 상계동,1289,상계불암대림,84.96,"        62,000"
서울특별시 노원구 상계동,463,상계신동아,84.99,"        44,500"
서울특별시 노원구 상계동,765,상계주공1(고층),32.39,"        30,000"
서울특별시 노원구 상계동,765,상계주공1(고층),58.01,"        44,000"
서울특별시 노원구 상계동,666,상계주공10(고층),45.9,"        34,900"
서울특별시 노원구 상계동,666,상계주공10(고층),59.39,"        46,400"
서울특별시 노원구 상계동,666,상계주공10(저층),47.34,"        36,000"
서울특별시 노원구 상계동,666,상계주공10(저층),54.54,"        46,000"
서울특별시 노원구 상계동,652,상계주공11(고층),49.94,"        41,000"
서울특별시 노원구 상계동,652,상계주공11(고층),41.3,"        34,600"
서울특별시 노원구 상계동,652,상계주공11(고층),58.01,"        47,500"
서울특별시 노원구 상계동,652,상계주공11(고층),60.5,"        43,000"
서울특별시 노원구 상계동,647,상계주공12(고층),41.3,"        32,900"
서울특별시 노원구 상계동,647,상계주공12(고층),49.94,"        35,700"
서울특별시 노원구 상계동,637,상계주공13(고층),49.94,"        30,000"
서울특별시 노원구 상계동,637,상계주공13(고층),45.9,"        29,000"
서울특별시 노원구 상계동,626,상계주공14(고층),41.3,"        28,700"
서울특별시 노원구 상계동,626,상계주공14(고층),90.94,"        64,700"
서울특별시 노원구 상계동,626,상계주공14(고층),41.3,"        30,300"
서울특별시 노원구 상계동,626,상계주공14(고층),45.55,"        30,000"
서울특별시 노원구 상계동,624,상계주공16(고층),45.77,"        29,800"
서울특별시 노원구 상계동,740,상계주공2(고층),59.2,"        41,600"
서울특별시 노원구 상계동,740,상계주공2(고층),58.01,"        54,000"
서울특별시 노원구 상계동,740,상계주공2(고층),38,"        34,500"
서울특별시 노원구 상계동,740,상계주공2(고층),59.39,"        48,500"
서울특별시 노원구 상계동,740,상계주공2(고층),58.01,"        53,000"
서울특별시 노원구 상계동,740,상계주공2(고층),59.28,"        47,800"
서울특별시 노원구 상계동,730-2,상계주공3(고층),73.94,"        73,500"
서울특별시 노원구 상계동,749-5,상계주공4(고층),49.94,"        41,000"
서울특별시 노원구 상계동,749-5,상계주공4(고층),32.39,"        29,900"
서울특별시 노원구 상계동,749-5,상계주공4(고층),73.94,"        56,500"
서울특별시 노원구 상계동,749-5,상계주공4(고층),41.3,"        36,800"
서울특별시 노원구 상계동,749-5,상계주공4(고층),37.46,"        34,800"
서울특별시 노원구 상계동,749-5,상계주공4(고층),62.1,"        51,400"
서울특별시 노원구 상계동,721,상계주공5(저층),31.98,"        51,000"
서울특별시 노원구 상계동,721,상계주공5(저층),31.98,"        48,000"
서울특별시 노원구 상계동,720,상계주공6(고층),59.2,"        50,000"
서울특별시 노원구 상계동,720,상계주공6(고층),58.01,"        53,000"
서울특별시 노원구 상계동,720,상계주공6(고층),58.01,"        52,000"
서울특별시 노원구 상계동,720,상계주공6(고층),58.01,"        54,900"
서울특별시 노원구 상계동,720,상계주공6(고층),41.3,"        38,200"
서울특별시 노원구 상계동,720,상계주공6(고층),59.2,"        53,000"
서울특별시 노원구 상계동,691,상계주공7(고층),41.3,"        45,500"
서울특별시 노원구 상계동,691,상계주공7(고층),58.01,"        58,000"
서울특별시 노원구 상계동,691,상계주공7(고층),45.55,"        46,200"
서울특별시 노원구 상계동,691,상계주공7(고층),41.3,"        47,000"
서울특별시 노원구 상계동,670,상계주공9(고층),45.9,"        32,000"
서울특별시 노원구 상계동,670,상계주공9(고층),41.3,"        31,800"
서울특별시 노원구 상계동,670,상계주공9(고층),49.94,"        40,800"
서울특별시 노원구 상계동,670,상계주공9(고층),45.9,"        29,500"
서울특별시 노원구 상계동,670,상계주공9(고층),49.94,"        41,000"
서울특별시 노원구 상계동,1063,상계현대3차,84.96,"        46,000"
서울특별시 노원구 상계동,1063,상계현대3차,84.96,"        50,000"
서울특별시 노원구 상계동,1255,은빛1단지,59.92,"        36,700"
서울특별시 노원구 상계동,1256,은빛2단지,39.7,"        28,000"
서울특별시 노원구 상계동,1256,은빛2단지,39.7,"        24,000"
서울특별시 노원구 상계동,1256,은빛2단지,49.77,"        33,500"
서울특별시 노원구 상계동,1276,청암2단지,49.77,"        32,800"
서울특별시 노원구 상계동,1276,청암2단지,59.96,"        42,000"
서울특별시 노원구 상계동,757,한양,86.62,"        59,500"
서울특별시 노원구 상계동,1078,현대2차,82.68,"        40,300"
서울특별시 노원구 월계동,938,건양노블레스빌,84.659,"        52,900"
서울특별시 노원구 월계동,950,녹천역두산위브아파트,84.9343,"        55,800"
서울특별시 노원구 월계동,925,대동,59.76,"        43,000"
서울특별시 노원구 월계동,13,미륭,51.48,"        57,000"
서울특별시 노원구 월계동,13,미륭,51.48,"        53,000"
서울특별시 노원구 월계동,13,미성,50.14,"        53,000"
서울특별시 노원구 월계동,13,미성,50.14,"        54,000"
서울특별시 노원구 월계동,13,미성,33.28,"        46,000"
서울특별시 노원구 월계동,13,미성,50.14,"        56,500"
서울특별시 노원구 월계동,13,미성,50.14,"        54,800"
서울특별시 노원구 월계동,13,미성,33.28,"        45,500"
서울특별시 노원구 월계동,320-11,사슴3,39.6,"        27,800"
서울특별시 노원구 월계동,383-40,성북맨션,65.35,"        35,000"
서울특별시 노원구 월계동,939,월계흥화브라운빌,59.79,"        37,200"
서울특별시 노원구 월계동,556,주공2,44.52,"        26,400"
서울특별시 노원구 월계동,556,주공2,38.64,"        22,000"
서울특별시 노원구 월계동,18,한진한화그랑빌,114.97,"        73,000"
서울특별시 노원구 월계동,18,한진한화그랑빌,114.97,"        66,000"
서울특별시 노원구 월계동,18,한진한화그랑빌,59.94,"        61,500"
서울특별시 노원구 월계동,18,한진한화그랑빌,84.97,"        67,000"
서울특별시 노원구 월계동,18,한진한화그랑빌,114.97,"        83,500"
서울특별시 노원구 월계동,18,한진한화그랑빌,59.94,"        61,950"
서울특별시 노원구 월계동,929,현대,59.95,"        50,000"
서울특별시 노원구 월계동,929,현대,59.95,"        52,250"
서울특별시 노원구 월계동,929,현대,59.95,"        52,700"
서울특별시 노원구 중계동,515-2,건영2,75.02,"        47,500"
서울특별시 노원구 중계동,515-2,건영2,84.96,"        60,100"
서울특별시 노원구 중계동,360-15,건영3,84.9,"        89,500"
서울특별시 노원구 중계동,360-15,건영3,84.9,"        87,000"
서울특별시 노원구 중계동,505,경남,50.97,"        39,500"
서울특별시 노원구 중계동,505,롯데(505),84.97,"        60,500"
서울특별시 노원구 중계동,361-1,롯데우성아파트,115.26,"       102,700"
서울특별시 노원구 중계동,593,삼성,114.67,"        65,000"
서울특별시 노원구 중계동,505,상아,114.57,"        80,000"
서울특별시 노원구 중계동,505,상아,51.29,"        40,500"
서울특별시 노원구 중계동,580,성원1,59.75,"        57,000"
서울특별시 노원구 중계동,587,양지마을(대림)1,114.96,"        88,000"
서울특별시 노원구 중계동,445,염광,84.31,"        55,700"
서울특별시 노원구 중계동,445,염광,59.34,"        41,900"
서울특별시 노원구 중계동,360-16,주공10,58.14,"        59,900"
서울특별시 노원구 중계동,360-16,주공10,58.14,"        58,900"
서울특별시 노원구 중계동,369,주공2,44.52,"        29,500"
서울특별시 노원구 중계동,369,주공2,44.52,"        29,000"
서울특별시 노원구 중계동,369,주공2,44.52,"        31,000"
서울특별시 노원구 중계동,358-2,주공4,45.77,"        34,000"
서울특별시 노원구 중계동,359-1,주공5,76.51,"        71,000"
서울특별시 노원구 중계동,359-1,주공5,76.51,"        74,500"
서울특별시 노원구 중계동,364-12,주공6,44.1,"        35,800"
서울특별시 노원구 중계동,364-12,주공6,44.1,"        33,900"
서울특별시 노원구 중계동,363-1,주공7,44.1,"        29,900"
서울특별시 노원구 중계동,362-1,주공8,49.72,"        44,000"
서울특별시 노원구 중계동,362-1,주공8,49.72,"        42,000"
서울특별시 노원구 중계동,362-1,주공8,49.72,"        42,900"
서울특별시 노원구 중계동,362-1,주공8,49.72,"        42,800"
서울특별시 노원구 중계동,585,중계3우성,84.87,"        67,000"
서울특별시 노원구 중계동,502-1,중계그린1단지,59.87,"        38,400"
서울특별시 노원구 중계동,502-1,중계그린1단지,44.1,"        36,000"
서울특별시 노원구 중계동,502-1,중계그린1단지,59.87,"        41,000"
서울특별시 노원구 중계동,502-1,중계그린1단지,39.92,"        27,700"
서울특별시 노원구 중계동,502-1,중계그린1단지,39.91,"        30,900"
서울특별시 노원구 중계동,502-1,중계그린1단지,49.5,"        37,700"
서울특별시 노원구 중계동,502-1,중계그린1단지,59.46,"        43,500"
서울특별시 노원구 중계동,502-1,중계그린1단지,49.5,"        37,500"
서울특별시 노원구 중계동,502-1,중계그린1단지,49.5,"        37,800"
